iter	F1	Logloss
0	0.004964832437	0.6888552298
1	0.02044989775	0.6843386943
2	0.00744109136	0.6804496105
3	0.004966887417	0.6766238795
4	0.003314001657	0.6732653995
5	0.001658374793	0.6700919691
6	0.001658374793	0.6675498448
7	0.001658374793	0.6652090373
8	0	0.6629846026
9	0	0.6610270253
10	0	0.659254204
11	0	0.657529632
12	0	0.6559085126
13	0	0.6543029393
14	0	0.6529811872
15	0	0.6518019773
16	0	0.6504707421
17	0	0.6492271644
18	0	0.6481409705
19	0	0.6471353543
20	0	0.6460704054
21	0	0.6451529057
22	0	0.6443563437
23	0	0.6436083353
24	0	0.6426505373
25	0	0.6420695837
26	0	0.64108663
27	0	0.6401231181
28	0	0.6391657334
29	0	0.6385013645
30	0	0.6378782661
31	0	0.6371695089
32	0	0.6364749403
33	0	0.635771579
34	0.0008295313148	0.6351195585
35	0.0008295313148	0.634299572
36	0.001658374793	0.6336351183
37	0.001658374793	0.6329496766
38	0.001658374793	0.6325973613
39	0.001658374793	0.6317938362
40	0.001658374793	0.6311171894
41	0.001658374793	0.6302964032
42	0.0008295313148	0.6299674111
43	0.0008295313148	0.629308326
44	0.0008295313148	0.6286598035
45	0.0008295313148	0.6282947139
46	0.0008295313148	0.6278523552
47	0.0008295313148	0.6273131918
48	0.002486531289	0.6267805138
49	0.002486531289	0.6262930145
50	0.002486531289	0.6255742402
51	0.002486531289	0.6247413787
52	0.002486531289	0.6240077248
53	0.002486531289	0.6235108548
