iter	F1	Logloss
0	0.0033126294	0.6888848329
1	0.01152737752	0.6846564125
2	0.005787515502	0.6806961379
3	0.005787515502	0.6770059803
4	0.00248447205	0.6740318961
5	0	0.6711699996
6	0.001657687526	0.6681677135
7	0	0.6654584591
8	0	0.6632979572
9	0	0.6612559889
10	0	0.6592999898
11	0	0.6574723835
12	0	0.65555997
13	0	0.6540092014
14	0	0.652731259
15	0	0.6516023543
16	0	0.6502075299
17	0	0.6489751169
18	0	0.6480086183
19	0	0.6469641704
20	0	0.6459393783
21	0	0.6449603671
22	0	0.6441018122
23	0	0.6435756567
24	0	0.6428109629
25	0	0.6423611089
26	0	0.6416713741
27	0	0.6407006507
28	0	0.6395696266
29	0	0.6389432847
30	0	0.6381870903
31	0	0.6374223903
32	0	0.6369829259
33	0	0.6364000316
34	0	0.6357328671
35	0	0.6350678758
36	0	0.6342728898
37	0	0.6335636896
38	0	0.6332003368
39	0	0.6323244364
40	0	0.6315860951
41	0	0.6308004777
42	0	0.6305265728
43	0	0.6299747598
44	0	0.6294697502
45	0	0.6290830324
46	0	0.6284436795
47	0	0.6280366401
48	0	0.6272933624
49	0	0.6268995859
50	0	0.6263122571
