iter	F1	Logloss
0	0.5134951927	0.6839774986
1	0.5488389336	0.6769523447
2	0.5707790204	0.6684576813
3	0.5788049313	0.6622645624
4	0.6000514094	0.652883198
5	0.6120866896	0.6449816996
6	0.6127430315	0.6401614045
7	0.6328295251	0.6271582053
8	0.6473243275	0.6197525543
9	0.6514350584	0.6118850333
10	0.6692477154	0.5944957367
11	0.68572849	0.5769518143
12	0.7143153014	0.5455341028
13	0.7315258337	0.5193728361
14	0.7507642671	0.4964722817
15	0.7660947908	0.4743491162
16	0.793194265	0.4399562087
17	0.8142326602	0.4100770495
18	0.8216815461	0.3946609856
19	0.8446164656	0.3690735953
20	0.8615728399	0.3412545557
21	0.8708961158	0.3203582846
22	0.8838875671	0.300807048
23	0.8931292995	0.2864702923
24	0.9085880733	0.265970257
25	0.9143011977	0.2527545202
26	0.9263689081	0.2384276744
27	0.9338680553	0.2199863202
28	0.9401244613	0.2056064058
29	0.944820574	0.1976482238
30	0.9543551571	0.1823066763
31	0.961262128	0.1710467968
32	0.9659201552	0.1579084206
33	0.9703758649	0.1510934767
34	0.9751398995	0.1428189849
35	0.9795069533	0.132593525
36	0.9827946372	0.1257987858
37	0.986224388	0.1172840754
38	0.988614246	0.1084033806
39	0.9897292016	0.1037501151
40	0.9930635981	0.09483298315
41	0.9948207183	0.08860071358
42	0.9960191627	0.08233956856
43	0.9973497296	0.07812951845
44	0.9977961552	0.07383212979
45	0.9987795552	0.06788436661
46	0.999341257	0.06462990179
47	0.9992261028	0.05964651264
48	0.9992445479	0.05559182557
49	0.9995161738	0.05188837785
50	0.9995161738	0.04839950307
51	0.9997096481	0.04563468469
52	1	0.04270244427
53	0.9999031973	0.04006717749
54	1	0.03780013156
55	1	0.03528424827
56	1	0.0330669281
57	1	0.03177051711
58	1	0.02976760653
59	1	0.02812472792
60	1	0.02671290086
61	1	0.02580504672
62	1	0.02488675608
63	1	0.02382336889
64	1	0.0226559144
65	1	0.02170554549
66	1	0.02103895974
67	1	0.02021018442
68	1	0.01920991348
69	1	0.01831003878
70	1	0.01743602124
71	1	0.01688569151
72	1	0.016418821
73	1	0.0157371173
74	1	0.01514195893
75	1	0.01448425617
76	1	0.0140496564
77	1	0.01360323498
78	1	0.0130655971
79	1	0.01265459309
80	1	0.01218058673
81	1	0.01163055265
82	1	0.01123021435
83	1	0.01090207167
84	1	0.01042298788
85	1	0.0101938679
86	1	0.009944319273
87	1	0.009633504122
88	1	0.009487202755
89	1	0.009241638465
90	1	0.008975847418
91	1	0.008633672875
92	1	0.008305468814
93	1	0.008013525387
94	1	0.007722285078
95	1	0.007439052741
96	1	0.00720875436
97	1	0.006942073605
98	1	0.006788757743
99	1	0.006566123224
100	1	0.006332058095
101	1	0.006185128802
102	1	0.006003769346
103	1	0.005852937889
104	1	0.005667898179
105	1	0.005667355333
106	1	0.005540179891
107	1	0.005383426719
108	1	0.00528807064
109	1	0.005216835097
110	1	0.005216272923
111	1	0.005090514268
112	1	0.004955451105
113	1	0.004840302681
114	1	0.004690378759
115	1	0.004690265192
116	1	0.004548461475
117	1	0.004548461475
118	1	0.004440368686
119	1	0.004339781457
120	1	0.004339673318
