iter	F1	Logloss
0	0.004960727573	0.6887305035
1	0.009888751545	0.6844960625
2	0.004964832437	0.6803117172
3	0.0008291873964	0.6765652601
4	0	0.6735086793
5	0	0.6704001213
6	0	0.6675606761
7	0	0.6648854258
8	0	0.6625560681
9	0	0.6603253946
10	0	0.658353261
11	0	0.656767992
12	0	0.6552118952
13	0	0.6537526703
14	0	0.6524177821
15	0	0.6510651205
16	0	0.649929856
17	0	0.648708185
18	0	0.6477373421
19	0	0.6466933481
20	0	0.6456187814
21	0	0.6446728136
22	0	0.6437655197
23	0	0.643110094
24	0	0.642078708
25	0	0.6415513029
26	0	0.640841502
27	0	0.6398073581
28	0	0.6391122969
29	0	0.6382904726
30	0	0.6373844274
31	0.002485501243	0.6364869618
32	0.002485501243	0.6358149315
33	0.002485501243	0.6349884297
34	0.002485501243	0.6343674284
35	0.001657687526	0.6336742036
36	0.001657687526	0.6329776645
37	0.002485501243	0.6323394926
38	0.002485501243	0.6319488241
39	0.002485501243	0.6313525262
40	0.002485501243	0.6306888317
41	0.002485501243	0.6301293692
42	0.002485501243	0.6298274346
43	0.001657687526	0.6292416495
44	0.002485501243	0.6285150894
45	0.001657687526	0.6281075842
46	0.0033126294	0.6275622598
47	0.0033126294	0.6271504105
48	0.004139072848	0.6267880168
49	0.004139072848	0.6263331996
50	0.004139072848	0.6256401748
51	0.004139072848	0.6251273819
